Designator,Mid X,Mid Y,Layer,Rotation
IC1, 7.37,42.61,Bottom,90.0
LR11,16.89,86.43,Bottom,90.0
R1,11.81,10.23,Bottom,90.0
R2,11.81,25.47,Bottom,270.0
R3,11.81,34.36,Bottom,90.0
R4,11.81,55.95,Bottom,90.0
R5,11.81,71.19,Bottom,90.0
R6,11.81,101.03,Bottom,90.0
R7, 9.27,16.58,Bottom,90.0
R8,11.81,86.43,Bottom,90.0
R9,16.89,10.23,Bottom,90.0
R10,16.89,25.47,Bottom,90.0
R11,16.89,40.07,Bottom,90.0
R12,16.89,55.95,Bottom,90.0
R13,16.89,71.19,Bottom,90.0
R14,16.89,101.03,Bottom,90.0
R15, 1.65,10.23,Bottom,270.0
R16, 9.27,29.28,Bottom,90.0
R17, 9.27,76.27,Bottom,90.0
R18, 9.27,93.41,Bottom,90.0
R19, 1.65,25.47,Bottom,270.0
R20, 1.65,76.27,Bottom,90.0
R21, 1.65,86.43,Bottom,270.0
